ind,country
1,"mexico"
2,"phillipines"
3,"india"
4,"vietnam"
5,"el salvador"
6,"china"
7,"cuba"
8,"dominican republic"
9,"korea"
10,"jamaica"
11,"canada"
12,"colombia"
13,"guatemala"
14,"germany"
15,"haiti"
16,"poland"
17,"taiwan"
18,"england"
19,"italy"
20,"ecuador"
21,"japan"
22,"iran"
23,"honduras"
24,"peru"
25,"russia"
26,"nicaragua"
27,"guyana"
28,"pakistan"
29,"hong kong"
30,"trinidad-tobago"
31,"west europe+isreal+cyprus+auss+nz"
32,"east europe incl romania ukraine yugoslav"
33,"middle east turkey bulgaria and the stans"
34,"asia and oceania"
35,"south america"
36,"africa"
37,"caribbean + central am"
38,"other" 	